N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
""
51,금호석유,"190,000",500,-0.26%,"5,000","57,889","30,468",29.39,"169,183",16.26,11.84,
52,한미사이언스,"82,500","3,900",+4.96%,500,"55,526","67,305",1.59,"337,390",375.00,4.73,
53,아모레G,"67,200","3,100",+4.84%,500,"55,412","82,458",20.07,"203,296",237.46,4.12,
54,코웨이,"74,500","1,000",+1.36%,500,"54,981","73,800",61.00,"140,855",15.40,30.74,
55,한국타이어앤테크놀로지,"44,200",150,+0.34%,500,"54,753","123,875",40.56,"335,150",21.27,6.03,
""
""
""
56,강원랜드,"25,550",250,+0.99%,500,"54,662","213,940",22.55,"608,562",-28.77,9.16,
57,LG유플러스,"12,450",300,+2.47%,"5,000","54,358","436,611",30.54,"3,446,887",6.86,6.30,
58,대한항공,"30,600","3,500",+12.92%,"5,000","53,308","174,210",12.42,"9,875,086",-6.98,-22.09,
59,신풍제약,"100,000",100,+0.10%,500,"52,985","52,985",11.40,"349,427","2,777.78",0.80,
60,녹십자,"450,500","25,500",+6.00%,"5,000","52,648","11,687",21.28,"275,129",120.84,-0.35,
""
""
""
61,유한양행,"73,100",700,+0.97%,"1,000","51,150","69,973",20.31,"203,664",28.16,2.43,
62,이마트,"181,000","7,000",+4.02%,"5,000","50,455","27,876",31.66,"300,436",9.03,2.76,
63,현대건설,"45,150",750,+1.69%,"5,000","50,277","111,356",18.93,"937,559",22.01,6.30,
64,오리온,"126,000","4,500",+3.70%,500,"49,816","39,536",41.94,"119,811",18.20,14.24,
65,두산중공업,"13,250",150,-1.12%,"5,000","49,639","374,637",10.77,"1,348,882",-2.86,-14.73,
""
""
""
66,한국금융지주,"87,900","1,100",+1.27%,"5,000","48,983","55,726",30.58,"155,111",8.04,18.14,
67,SK케미칼,"414,500","4,000",+0.97%,"5,000","48,668","11,741",20.61,"179,302",18.91,1.51,
68,LG이노텍,"205,000","5,000",+2.50%,"5,000","48,518","23,667",32.51,"235,335",37.16,4.73,
69,SKC,"127,500","6,000",+4.94%,"5,000","48,282","37,868",8.16,"472,609",56.59,3.86,
70,HMM,"14,500",200,-1.36%,"5,000","47,375","326,726",7.56,"2,600,717",-46.77,-55.46,
""
""
""
71,한미약품,"379,500","17,500",+4.83%,"2,500","45,837","12,078",13.70,"115,537","-3,684.47",7.30,
72,현대차2우B,"118,500","1,000",+0.85%,"5,000","43,235","36,485",60.79,"69,946",28.32,N/A,
73,삼성중공업,"6,860",90,+1.33%,"5,000","43,218","630,000",15.08,"2,474,197",-3.46,-21.88,
74,한진칼,"65,100","1,100",+1.72%,"2,500","43,137","66,263",15.40,"65,008",-10.74,-17.56,
75,현대중공업지주,"270,000","4,000",+1.50%,"5,000","42,656","15,799",17.84,"27,954",-16.36,2.20,
""
""
""
76,두산퓨얼셀,"63,000",500,+0.80%,100,"41,261","65,494",19.85,"2,377,285",184.75,N/A,
77,CJ대한통운,"172,500","1,500",+0.88%,"5,000","39,351","22,812",21.18,"38,208",31.10,1.41,
78,맥쿼리인프라,"10,550",0,0.00%,0,"39,266","372,192",13.71,"538,443",N/A,N/A,
79,롯데지주,"36,450",50,+0.14%,200,"38,239","104,909",11.34,"166,895",-5.33,-5.21,
80,LG화학우,"494,000",0,0.00%,"5,000","37,983","7,689",62.81,"29,505",46.16,N/A,
""
""
""
81,삼성카드,"32,450",250,+0.78%,"5,000","37,596","115,859",10.79,"56,883",9.12,5.04,
82,만도,"78,600",600,+0.77%,"1,000","36,908","46,957",25.61,"506,625",-66.55,7.55,
83,삼성증권,"41,300",250,+0.61%,"5,000","36,881","89,300",26.36,"293,536",7.84,8.15,
84,GS,"38,800",250,-0.64%,"5,000","36,051","92,915",19.34,"205,626",-42.08,6.26,
85,키움증권,"145,500","3,500",+2.46%,"5,000","35,032","24,077",22.36,"184,168",6.42,16.97,
""
""
""
86,호텔신라,"89,000",900,+1.02%,"5,000","34,931","39,248",20.69,"528,915",-27.01,20.16,
87,쌍용양회,"6,890",0,0.00%,100,"34,716","503,860",3.12,"1,322,793",27.67,7.02,
88,GS건설,"42,150",400,-0.94%,"5,000","34,051","80,785",27.23,"837,864",11.03,11.79,
89,동서,"33,850",250,+0.74%,500,"33,748","99,700",4.27,"143,017",24.41,10.53,
90,롯데쇼핑,"118,000","2,000",+1.72%,"5,000","33,381","28,289",11.72,"102,196",-2.49,-8.14,
""
""
""
91,NH투자증권,"11,850",250,+2.16%,"5,000","33,347","281,409",15.28,"751,803",5.76,9.12,
92,두산밥캣,"33,000",200,-0.60%,500,"33,082","100,249",21.90,"233,369",17.86,7.05,
93,더존비즈온,"109,000",500,-0.46%,500,"32,842","30,130",46.48,"83,823",67.74,18.78,
94,에스원,"86,400","2,100",+2.49%,500,"32,831","37,999",56.23,"35,164",22.74,11.32,
95,한국항공우주,"32,750","1,750",+5.65%,"5,000","31,923","97,475",14.16,"1,843,390",24.12,15.84,
""
""
""
96,CJ,"108,500","2,500",+2.36%,"5,000","31,657","29,177",20.36,"84,170",18.02,6.24,
97,한국가스공사,"34,000",100,-0.29%,"5,000","31,386","92,313",8.82,"243,289",-6.25,0.48,
98,대웅,"53,500","2,800",+5.52%,500,"31,106","58,142",5.32,"1,370,403",61.64,10.43,
99,DB하이텍,"68,700",500,-0.72%,"5,000","30,502","44,399",24.79,"1,211,088",18.54,17.40,
100,대우조선해양,"28,100",600,+2.18%,"5,000","30,149","107,291",9.34,"208,827",17.29,-1.22,
""
""
""
""
101,씨에스윈드,"174,000",0,0.00%,500,"30,077","17,286",9.11,"115,025",60.67,9.92,
102,TIGER 200,"44,055",845,+1.96%,0,"29,913","67,900",3.03,"436,316",N/A,N/A,
103,일진머티리얼즈,"64,200",200,-0.31%,500,"29,603","46,111",9.02,"366,077",66.60,8.52,
104,현대차우,"121,500",500,-0.41%,"5,000","29,593","24,357",54.45,"124,556",29.03,N/A,
105,현대오토에버,"139,500",0,0.00%,500,"29,295","21,000",1.03,"84,615",50.97,11.71,
""
""
""
